top-1 output,BFA iteration
5,17
5,17
3,17
5,17
5,17
6,17
6,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
3,17
3,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
2,17
5,17
9,17
5,17
5,17
3,17
5,17
5,17
5,17
6,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
6,17
3,17
3,17
3,17
5,17
3,17
5,17
6,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
2,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
3,17
3,17
3,17
2,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
6,17
5,17
3,17
5,17
3,17
3,17
6,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
0,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
3,17
6,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
6,17
3,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
6,17
3,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
6,17
3,17
3,17
5,17
6,17
3,17
5,17
3,17
5,17
5,17
6,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
1,17
5,17
5,17
5,17
1,17
5,17
5,17
5,17
3,17
6,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
8,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
6,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
6,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
6,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
3,17
3,17
6,17
3,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
1,17
6,17
5,17
3,17
3,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
3,17
5,17
6,17
5,17
5,17
5,17
6,17
3,17
3,17
8,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
6,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
8,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
6,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
0,17
3,17
5,17
3,17
3,17
3,17
3,17
5,17
5,17
6,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
6,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
6,17
5,17
5,17
6,17
5,17
8,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
6,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
6,17
5,17
3,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
3,17
6,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
6,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
6,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
8,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
3,17
8,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
1,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
6,17
3,17
5,17
3,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
1,17
5,17
6,17
5,17
3,17
1,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
8,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
6,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
3,17
5,17
5,17
5,17
2,17
6,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
2,17
5,17
6,17
3,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
6,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
6,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
3,17
5,17
3,17
5,17
3,17
6,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
3,17
5,17
1,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
6,17
5,17
5,17
5,17
6,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
6,17
5,17
5,17
6,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
6,17
5,17
5,17
3,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
6,17
6,17
5,17
3,17
3,17
5,17
5,17
5,17
6,17
3,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
2,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
6,17
3,17
3,17
5,17
3,17
5,17
6,17
5,17
3,17
5,17
5,17
5,17
6,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
8,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
6,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
1,17
5,17
5,17
5,17
5,17
3,17
6,17
3,17
5,17
5,17
5,17
8,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
2,17
5,17
5,17
5,17
5,17
5,17
5,17
8,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
6,17
3,17
6,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
0,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
6,17
1,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
8,17
5,17
1,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
6,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
6,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
8,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
3,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
3,17
5,17
6,17
3,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
6,17
5,17
3,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
3,17
0,17
3,17
5,17
1,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
0,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
6,17
5,17
6,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
8,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
3,17
6,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
8,17
5,17
5,17
5,17
5,17
5,17
3,17
6,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
8,17
3,17
5,17
5,17
5,17
5,17
6,17
1,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
6,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
8,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
2,17
0,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
3,17
1,17
3,17
3,17
5,17
3,17
5,17
5,17
8,17
5,17
3,17
3,17
6,17
8,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
6,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
3,17
3,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
6,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
2,17
1,17
5,17
3,17
5,17
5,17
0,17
8,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
6,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
6,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
3,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
3,17
3,17
5,17
5,17
3,17
3,17
5,17
6,17
6,17
5,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
0,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
0,17
3,17
3,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
5,17
3,17
6,17
1,17
5,17
5,17
1,17
5,17
5,17
5,17
8,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
6,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
6,17
5,17
5,17
3,17
3,17
5,17
3,17
0,17
5,17
2,17
5,17
3,17
3,17
5,17
6,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
8,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
6,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
2,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
1,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
3,17
3,17
0,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
6,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
0,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
0,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
5,17
8,17
3,17
3,17
5,17
5,17
3,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
6,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
8,17
5,17
5,17
3,17
2,17
5,17
5,17
3,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
6,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
2,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
5,17
6,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
6,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
0,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
6,17
6,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
3,17
3,17
5,17
6,17
5,17
5,17
6,17
3,17
6,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
6,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
6,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
6,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
6,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
3,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
6,17
5,17
3,17
3,17
6,17
5,17
3,17
3,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
1,17
5,17
5,17
5,17
3,17
5,17
6,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
3,17
5,17
8,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
3,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
6,17
3,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
6,17
3,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
3,17
3,17
3,17
5,17
3,17
5,17
6,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
8,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
6,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
3,17
5,17
3,17
3,17
8,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
6,17
3,17
5,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
2,17
5,17
5,17
3,17
3,17
5,17
5,17
5,17
3,17
3,17
3,17
5,17
5,17
3,17
3,17
5,17
3,17
3,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
6,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
5,17
3,17
2,17
5,17
5,17
5,17
5,17
3,17
6,17
3,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
6,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
3,17
5,17
5,17
3,17
1,17
3,17
6,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
3,17
3,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
8,17
5,17
3,17
5,17
5,17
5,17
3,17
5,17
5,17
3,17
5,17
3,17
5,17
5,17
3,17
5,17
5,17
5,17
5,17
5,17
3,17
5,17
6,17
3,17
3,17
3,17
3,17
3,17
5,17
3,17
5,17
6,17
6,17
3,17
3,17
3,17
3,17
