top-1 output,BFA iteration
5,29
5,29
3,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
5,29
7,29
3,29
7,29
3,29
3,29
5,29
5,29
7,29
7,29
5,29
5,29
7,29
7,29
5,29
3,29
5,29
7,29
3,29
3,29
3,29
3,29
3,29
3,29
3,29
5,29
5,29
3,29
7,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
7,29
5,29
3,29
3,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
5,29
5,29
3,29
5,29
7,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
7,29
5,29
5,29
3,29
5,29
7,29
3,29
3,29
7,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
3,29
3,29
5,29
3,29
7,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
7,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
3,29
3,29
3,29
7,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
7,29
1,29
3,29
7,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
7,29
5,29
3,29
5,29
7,29
3,29
5,29
7,29
3,29
3,29
3,29
5,29
5,29
5,29
7,29
5,29
3,29
3,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
5,29
5,29
7,29
5,29
3,29
3,29
5,29
7,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
7,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
3,29
5,29
3,29
7,29
3,29
7,29
3,29
5,29
5,29
5,29
7,29
5,29
3,29
3,29
7,29
5,29
7,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
7,29
3,29
7,29
3,29
7,29
3,29
7,29
5,29
3,29
3,29
3,29
5,29
5,29
7,29
5,29
5,29
3,29
5,29
3,29
3,29
3,29
5,29
3,29
3,29
3,29
5,29
7,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
7,29
3,29
5,29
3,29
5,29
7,29
5,29
5,29
5,29
3,29
3,29
3,29
1,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
7,29
5,29
7,29
5,29
3,29
3,29
5,29
5,29
3,29
7,29
7,29
3,29
7,29
3,29
7,29
5,29
3,29
3,29
3,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
7,29
7,29
5,29
3,29
5,29
5,29
3,29
7,29
7,29
5,29
5,29
3,29
7,29
5,29
5,29
3,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
7,29
3,29
5,29
7,29
5,29
3,29
5,29
5,29
5,29
7,29
3,29
7,29
3,29
7,29
3,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
3,29
5,29
3,29
5,29
3,29
7,29
5,29
5,29
5,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
7,29
5,29
7,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
3,29
7,29
3,29
3,29
5,29
7,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
7,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
7,29
5,29
3,29
7,29
5,29
7,29
1,29
5,29
5,29
7,29
5,29
5,29
3,29
3,29
3,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
8,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
7,29
3,29
0,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
7,29
5,29
5,29
5,29
3,29
5,29
5,29
7,29
7,29
5,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
3,29
3,29
3,29
5,29
5,29
3,29
3,29
3,29
3,29
3,29
3,29
5,29
5,29
7,29
5,29
3,29
3,29
7,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
7,29
5,29
3,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
3,29
5,29
3,29
7,29
3,29
5,29
7,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
7,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
3,29
3,29
3,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
3,29
7,29
5,29
5,29
5,29
5,29
7,29
5,29
3,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
5,29
7,29
7,29
5,29
5,29
7,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
7,29
7,29
5,29
7,29
7,29
7,29
3,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
7,29
5,29
5,29
7,29
3,29
7,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
5,29
7,29
5,29
3,29
5,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
7,29
3,29
1,29
7,29
7,29
5,29
3,29
5,29
5,29
5,29
3,29
7,29
5,29
5,29
3,29
7,29
3,29
3,29
3,29
3,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
7,29
3,29
5,29
7,29
5,29
7,29
3,29
3,29
3,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
3,29
5,29
7,29
3,29
5,29
3,29
5,29
5,29
7,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
3,29
7,29
3,29
5,29
5,29
5,29
5,29
3,29
7,29
3,29
3,29
5,29
7,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
7,29
5,29
5,29
7,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
7,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
7,29
7,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
7,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
3,29
3,29
5,29
7,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
7,29
5,29
0,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
7,29
3,29
5,29
3,29
3,29
7,29
5,29
5,29
5,29
7,29
5,29
3,29
5,29
3,29
3,29
7,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
7,29
3,29
3,29
3,29
5,29
7,29
3,29
7,29
3,29
5,29
8,29
3,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
7,29
5,29
7,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
7,29
5,29
5,29
3,29
5,29
3,29
3,29
7,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
3,29
7,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
7,29
5,29
3,29
5,29
7,29
5,29
5,29
5,29
5,29
7,29
7,29
5,29
3,29
7,29
5,29
7,29
5,29
5,29
7,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
3,29
7,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
3,29
0,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
7,29
3,29
5,29
5,29
3,29
3,29
5,29
3,29
7,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
3,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
7,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
7,29
5,29
5,29
5,29
3,29
3,29
5,29
3,29
7,29
3,29
5,29
5,29
3,29
3,29
3,29
5,29
3,29
3,29
3,29
5,29
3,29
7,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
7,29
5,29
5,29
5,29
3,29
7,29
5,29
7,29
7,29
5,29
7,29
5,29
5,29
3,29
3,29
3,29
5,29
7,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
7,29
3,29
7,29
3,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
7,29
7,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
8,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
7,29
5,29
7,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
7,29
5,29
5,29
3,29
3,29
5,29
7,29
5,29
5,29
3,29
7,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
3,29
5,29
3,29
7,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
7,29
5,29
3,29
5,29
5,29
3,29
7,29
3,29
5,29
7,29
3,29
3,29
7,29
3,29
3,29
5,29
5,29
5,29
7,29
5,29
3,29
7,29
7,29
7,29
5,29
3,29
3,29
3,29
7,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
3,29
3,29
3,29
3,29
5,29
3,29
7,29
3,29
3,29
7,29
7,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
0,29
5,29
3,29
7,29
5,29
5,29
7,29
3,29
5,29
3,29
5,29
5,29
5,29
7,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
7,29
7,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
7,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
7,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
7,29
7,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
5,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
7,29
5,29
3,29
3,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
7,29
5,29
7,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
7,29
5,29
5,29
5,29
5,29
5,29
3,29
7,29
5,29
7,29
5,29
5,29
5,29
5,29
3,29
3,29
7,29
3,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
7,29
3,29
5,29
7,29
5,29
3,29
3,29
5,29
7,29
5,29
6,29
3,29
5,29
7,29
7,29
5,29
3,29
3,29
7,29
7,29
5,29
3,29
7,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
7,29
5,29
3,29
7,29
0,29
3,29
3,29
3,29
5,29
7,29
5,29
7,29
3,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
1,29
3,29
5,29
7,29
3,29
3,29
3,29
5,29
5,29
7,29
7,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
7,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
7,29
5,29
7,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
7,29
7,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
7,29
3,29
3,29
3,29
5,29
7,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
8,29
3,29
3,29
3,29
7,29
5,29
5,29
7,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
0,29
3,29
7,29
7,29
5,29
5,29
5,29
7,29
3,29
5,29
5,29
5,29
5,29
5,29
7,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
7,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
3,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
7,29
5,29
5,29
7,29
3,29
3,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
1,29
3,29
7,29
3,29
5,29
5,29
3,29
3,29
5,29
3,29
7,29
5,29
5,29
7,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
7,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
7,29
5,29
7,29
5,29
5,29
5,29
5,29
3,29
5,29
1,29
3,29
3,29
3,29
3,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
7,29
3,29
5,29
3,29
3,29
3,29
3,29
7,29
3,29
3,29
3,29
3,29
7,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
7,29
3,29
5,29
5,29
7,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
7,29
7,29
5,29
7,29
5,29
7,29
5,29
3,29
7,29
5,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
3,29
3,29
3,29
5,29
3,29
5,29
5,29
7,29
5,29
5,29
3,29
3,29
7,29
3,29
3,29
3,29
3,29
3,29
7,29
5,29
7,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
7,29
5,29
3,29
5,29
3,29
3,29
3,29
5,29
3,29
7,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
5,29
5,29
7,29
3,29
5,29
5,29
3,29
5,29
7,29
7,29
5,29
5,29
3,29
3,29
5,29
7,29
5,29
7,29
3,29
3,29
5,29
3,29
5,29
3,29
7,29
5,29
3,29
3,29
5,29
7,29
5,29
5,29
5,29
3,29
5,29
7,29
7,29
5,29
7,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
3,29
3,29
3,29
3,29
3,29
3,29
5,29
3,29
7,29
3,29
3,29
7,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
7,29
5,29
5,29
5,29
7,29
5,29
7,29
5,29
5,29
5,29
5,29
3,29
7,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
7,29
3,29
5,29
3,29
3,29
5,29
3,29
3,29
5,29
7,29
3,29
5,29
5,29
3,29
3,29
7,29
3,29
7,29
5,29
5,29
7,29
7,29
5,29
5,29
3,29
5,29
7,29
5,29
7,29
7,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
7,29
7,29
5,29
7,29
7,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
7,29
3,29
3,29
3,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
7,29
3,29
7,29
3,29
3,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
3,29
5,29
5,29
7,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
2,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
3,29
7,29
3,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
5,29
7,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
7,29
7,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
7,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
7,29
7,29
3,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
7,29
3,29
3,29
5,29
3,29
3,29
5,29
7,29
5,29
5,29
5,29
3,29
3,29
7,29
5,29
5,29
5,29
5,29
3,29
7,29
5,29
5,29
7,29
7,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
1,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
7,29
5,29
7,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
7,29
7,29
5,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
0,29
7,29
5,29
5,29
7,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
7,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
3,29
3,29
7,29
3,29
5,29
3,29
5,29
7,29
3,29
3,29
3,29
7,29
3,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
7,29
3,29
3,29
3,29
1,29
7,29
3,29
5,29
5,29
7,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
3,29
5,29
3,29
7,29
5,29
5,29
5,29
3,29
7,29
5,29
3,29
7,29
5,29
5,29
5,29
5,29
7,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
3,29
7,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
7,29
5,29
5,29
5,29
5,29
7,29
7,29
5,29
5,29
5,29
7,29
3,29
7,29
5,29
7,29
5,29
5,29
5,29
7,29
5,29
7,29
7,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
7,29
3,29
5,29
5,29
3,29
7,29
7,29
5,29
7,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
1,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
3,29
7,29
7,29
5,29
3,29
3,29
5,29
3,29
7,29
5,29
5,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
3,29
5,29
7,29
5,29
7,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
7,29
5,29
3,29
7,29
5,29
5,29
7,29
3,29
5,29
0,29
3,29
3,29
3,29
3,29
7,29
3,29
5,29
3,29
5,29
7,29
3,29
3,29
5,29
5,29
5,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
7,29
5,29
3,29
7,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
7,29
5,29
5,29
5,29
3,29
3,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
7,29
5,29
3,29
1,29
5,29
5,29
5,29
0,29
7,29
7,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
1,29
5,29
5,29
5,29
3,29
3,29
7,29
3,29
5,29
3,29
3,29
3,29
5,29
0,29
5,29
5,29
3,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
3,29
3,29
7,29
3,29
5,29
5,29
7,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
7,29
3,29
7,29
7,29
5,29
7,29
5,29
3,29
3,29
7,29
5,29
3,29
3,29
5,29
5,29
2,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
5,29
7,29
5,29
3,29
7,29
3,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
7,29
3,29
5,29
7,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
3,29
3,29
3,29
7,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
7,29
3,29
3,29
5,29
7,29
5,29
3,29
7,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
1,29
3,29
3,29
3,29
3,29
3,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
7,29
5,29
3,29
5,29
5,29
3,29
7,29
3,29
7,29
3,29
7,29
3,29
7,29
7,29
7,29
3,29
5,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
5,29
7,29
3,29
3,29
5,29
5,29
5,29
3,29
7,29
3,29
5,29
2,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
3,29
7,29
3,29
5,29
3,29
5,29
3,29
3,29
7,29
5,29
3,29
3,29
3,29
3,29
3,29
3,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
5,29
5,29
0,29
3,29
5,29
3,29
5,29
7,29
7,29
3,29
3,29
5,29
3,29
3,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
7,29
5,29
3,29
3,29
7,29
5,29
3,29
3,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
7,29
5,29
3,29
5,29
3,29
3,29
7,29
3,29
5,29
3,29
5,29
7,29
3,29
5,29
3,29
3,29
5,29
7,29
5,29
3,29
5,29
5,29
3,29
7,29
3,29
7,29
3,29
3,29
5,29
5,29
7,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
7,29
5,29
3,29
5,29
3,29
3,29
7,29
5,29
7,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
7,29
7,29
3,29
5,29
5,29
5,29
7,29
3,29
3,29
5,29
5,29
3,29
3,29
7,29
7,29
5,29
5,29
5,29
5,29
5,29
0,29
7,29
3,29
5,29
7,29
3,29
5,29
3,29
7,29
7,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
7,29
5,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
3,29
7,29
7,29
0,29
5,29
3,29
3,29
3,29
5,29
5,29
5,29
3,29
5,29
7,29
3,29
5,29
3,29
7,29
3,29
5,29
5,29
3,29
3,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
7,29
5,29
3,29
3,29
5,29
3,29
2,29
3,29
5,29
3,29
7,29
5,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
7,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
7,29
7,29
3,29
3,29
3,29
3,29
5,29
5,29
3,29
7,29
5,29
5,29
3,29
5,29
3,29
3,29
5,29
5,29
7,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
7,29
5,29
3,29
5,29
5,29
3,29
7,29
5,29
3,29
5,29
3,29
5,29
3,29
5,29
5,29
7,29
3,29
5,29
3,29
3,29
5,29
3,29
7,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
7,29
3,29
3,29
5,29
5,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
3,29
7,29
3,29
5,29
3,29
5,29
3,29
7,29
3,29
5,29
5,29
3,29
5,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
3,29
5,29
5,29
5,29
3,29
5,29
3,29
7,29
3,29
5,29
5,29
5,29
5,29
7,29
7,29
5,29
5,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
5,29
7,29
5,29
1,29
5,29
3,29
5,29
3,29
3,29
5,29
7,29
7,29
3,29
3,29
5,29
5,29
3,29
3,29
5,29
5,29
5,29
5,29
7,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
5,29
5,29
5,29
3,29
5,29
3,29
7,29
3,29
5,29
5,29
3,29
5,29
5,29
3,29
5,29
7,29
5,29
5,29
5,29
7,29
5,29
5,29
5,29
5,29
3,29
7,29
3,29
3,29
3,29
3,29
5,29
3,29
3,29
5,29
5,29
7,29
5,29
3,29
7,29
5,29
3,29
5,29
7,29
5,29
7,29
5,29
3,29
5,29
3,29
5,29
7,29
5,29
3,29
5,29
3,29
5,29
5,29
3,29
7,29
7,29
3,29
3,29
7,29
5,29
7,29
3,29
3,29
7,29
3,29
5,29
5,29
3,29
3,29
3,29
5,29
5,29
3,29
7,29
3,29
3,29
3,29
3,29
5,29
5,29
3,29
5,29
5,29
3,29
3,29
3,29
7,29
